iter	Passed	Remaining
0	7	7887
1	15	7931
2	25	8572
3	51	12834
4	59	11911
5	85	14218
6	109	16	2237	126	17	2338	159	17508
9	169	16802
10	192	17306
11	206	17014
12	261	19881
13	284	20045
14	312	20493
15	342	21068
16	363	20993
17	398	21730
18	417	21550
19	435	21353
20	445	20791
21	478	21249
22	498	21170
23	511	20811
24	525	20488
25	542	20335
26	632	22795
27	650	22567
28	665	22298
29	694	22440
30	709	22165
31	747	22625
32	791	23180
33	814	23141
34	831	22926
35	863	23111
36	885	23043
37	901	22815
38	921	22701
39	960	23052
40	976	22850
41	992	22645
42	1041	23174
43	1052	22867
44	1067	22660
45	1087	22556
46	1106	22439
47	1125	22319
48	1142	22169
49	1155	21955
50	1165	21690
51	1178	21478
52	1207	21583
53	1226	21488
54	1239	21301
55	1266	21344
56	1280	21182
57	1292	20988
58	1306	20842
59	1330	20847
60	1352	20817
61	1391	21045
62	1412	21002
63	1430	20918
64	1446	20808
65	1475	20880
66	1497	20853
67	1514	20761
68	1571	21204
69	1596	21211
70	1616	21147
71	1642	21176
72	1662	21106
73	1693	21192
74	1740	21465
75	1752	21306
76	1765	21166
77	1783	21085
78	1804	21038
79	1825	20994
80	1847	20958
81	1867	20909
82	1880	20771
83	1891	20626
84	1909	20553
85	1929	20504
86	1946	20429
87	1958	20296
88	1971	20184
89	1988	20109
90	2022	20205
91	2046	20196
92	2069	20181
93	2091	20162
94	2101	20019
95	2130	20063
96	2147	19994
97	2162	19899
98	2195	19983
99	2213	19924
100	2234	19886
101	2259	19896
102	2275	19817
103	2301	19824
104	2317	19751
105	2334	19692
106	2349	19611
107	2366	19546
108	2409	19693
109	2417	19558
110	2434	19495
111	2462	19526
112	2504	19659
113	2529	19660
114	2550	19626
115	2571	19596
116	2591	19561
117	2613	19535
118	2632	19488
119	2656	19478
120	2677	19447
121	2691	19372
122	2715	19359
123	2768	19559
124	2798	19587
125	2811	19501
126	2825	19424
127	2844	19381
128	2862	19329
129	2896	19381
130	2914	19331
131	2934	19296
132	2943	19188
133	2992	19340
134	3014	19316
135	3030	19254
136	3053	19233
137	3071	19185
138	3097	19186
139	3117	19150
140	3134	19095
141	3150	19037
142	3182	19069
143	3195	18994
144	3215	18960
145	3235	18923
146	3270	18979
147	3292	18951
148	3309	18904
149	3318	18806
150	3338	18771
151	3360	18746
152	3378	18700
153	3408	18724
154	3430	18702
155	3463	18739
156	3479	18681
157	3497	18638
158	3514	18589
159	3529	18531
160	3578	18645
161	3587	18559
162	3600	18486
163	3624	18475
164	3653	18486
165	3696	18570
166	3710	18510
167	3734	18494
168	3756	18469
169	3770	18407
170	3796	18405
171	3810	18344
172	3885	18576
173	3893	18484
174	3911	18440
175	3925	18379
176	3941	18326
177	3984	18399
178	4001	18353
179	4019	18310
180	4034	18257
181	4047	18193
182	4073	18186
183	4089	18136
184	4112	18117
185	4126	18058
186	4140	18001
187	4178	18049
188	4194	17998
189	4210	17950
190	4252	18009
191	4271	17976
192	4283	17909
193	4297	17853
194	4311	17800
195	4332	17770
196	4353	17745
197	4407	17852
198	4446	17896
199	4471	17885
200	4494	17864
201	4512	17825
202	4530	17787
203	4603	17963
204	4627	17943
205	4642	17893
206	4670	17892
207	4685	17840
208	4699	17786
209	4712	17729
210	4739	17723
211	4759	17689
212	4774	17639
213	4798	17625
214	4813	17575
215	4851	17608
216	4873	17584
217	4885	17525
218	4903	17486
219	4926	17467
220	4959	17481
221	4985	17471
222	5009	17453
223	5027	17417
224	5047	17385
225	5069	17361
226	5084	17312
227	5104	17282
228	5136	17293
229	5155	17259
230	5170	17212
231	5195	17197
232	5203	17130
233	5224	17101
234	5243	17067
235	5281	17097
236	5298	17056
237	5316	17021
238	5336	16991
239	5354	16955
240	5371	16917
241	5401	16917
242	5426	16903
243	5436	16844
244	5456	16816
245	5467	16758
246	5483	16716
247	5498	16674
248	5537	16700
249	5545	16635
250	5555	16578
251	5578	16558
252	5595	16521
253	5616	16496
254	5633	16459
255	5658	16446
256	5679	16418
257	5691	16369
258	5709	16334
259	5719	16278
260	5733	16233
261	5762	16231
262	5782	16204
263	5796	16160
264	5816	16132
265	5832	16093
266	5856	16078
267	5871	16037
268	5885	15992
269	5898	15948
270	5926	15942
271	5945	15912
272	5968	15893
273	5983	15854
274	6002	15825
275	6014	15777
276	6032	15745
277	6051	15715
278	6067	15680
279	6087	15654
280	6113	15642
281	6130	15609
282	6145	15569
283	6161	15533
284	6183	15512
285	6202	15485
286	6226	15468
287	6250	15453
288	6279	15447
289	6295	15413
290	6310	15375
291	6333	15356
292	6371	15374
293	6393	15352
294	6415	15332
295	6429	15290
296	6449	15265
297	6473	15249
298	6504	15250
299	6529	15235
300	6545	15199
301	6568	15181
302	6581	15139
303	6600	15112
304	6619	15082
305	6662	15109
306	6673	15063
307	6690	15032
308	6748	15091
309	6758	15043
310	6772	15004
311	6789	14971
312	6816	14960
313	6822	14905
314	6830	14854
315	6837	14800
316	6849	14757
317	6860	14713
318	6875	14677
319	6893	14649
320	6904	14605
321	6926	14584
322	6941	14550
323	6958	14518
324	6969	14474
325	6995	14463
326	7016	14439
327	7030	14403
328	7047	14374
329	7061	14337
330	7084	14319
331	7095	14277
332	7112	14246
333	7122	14201
334	7142	14179
335	7165	14160
336	7182	14130
337	7196	14094
338	7212	14064
339	7229	14033
340	7250	14011
341	7259	13967
342	7281	13947
343	7293	13909
344	7312	13883
345	7326	13849
346	7338	13809
347	7360	13790
348	7373	13753
349	7389	13723
350	7409	13700
351	7424	13667
352	7440	13637
353	7455	13604
354	7485	13600
355	7501	13569
356	7518	13541
357	7535	13513
358	7555	13490
359	7574	13465
360	7587	13430
361	7613	13418
362	7622	13376
363	7641	13352
364	7655	13319
365	7672	13290
366	7684	13253
367	7698	13221
368	7716	13196
369	7732	13166
370	7749	13138
371	7761	13102
372	7775	13070
373	7795	13048
374	7810	13018
375	7825	12986
376	7843	12961
377	7861	12935
378	7877	12907
379	7892	12877
380	7911	12854
381	7932	12833
382	7953	12812
383	7963	12774
384	7990	12764
385	8008	12739
386	8022	12707
387	8036	12675
388	8053	12650
389	8068	12619
390	8082	12588
391	8096	12557
392	8109	12525
393	8127	12500
394	8143	12473
395	8158	12443
396	8172	12413
397	8195	12396
398	8217	12377
399	8235	12352
400	8249	12322
401	8263	12292
402	8275	12258
403	8294	12236
404	8307	12205
405	8321	12174
406	8333	12142
407	8347	12111
408	8371	12096
409	8388	12071
410	8403	12042
411	8431	12033
412	8458	12022
413	8476	11997
414	8489	11967
415	8514	11952
416	8537	11935
417	8553	11909
418	8571	11885
419	8587	11858
420	8605	11834
421	8621	11808
422	8641	11787
423	8660	11765
424	8677	11740
425	8688	11707
426	8706	11683
427	8723	11658
428	8738	11630
429	8753	11603
430	8780	11591
431	8794	11563
432	8807	11533
433	8829	11514
434	8849	11494
435	8862	11464
436	8879	11439
437	8896	11415
438	8914	11391
439	8928	11363
440	8943	11336
441	8972	11326
442	8984	11296
443	9008	11280
444	9026	11258
445	9040	11229
446	9052	11199
447	9063	11167
448	9077	11139
449	9093	11114
450	9106	11085
451	9121	11058
452	9134	11030
453	9151	11006
454	9160	10972
455	9177	10948
456	9190	10920
457	9211	10900
458	9230	10879
459	9242	10849
460	9258	10824
461	9278	10805
462	9292	10777
463	9303	10747
464	9317	10720
465	9339	10702
466	9362	10685
467	9374	10655
468	9394	10636
469	9406	10607
470	9437	10599
471	9453	10574
472	9466	10547
473	9484	10524
474	9501	10501
475	9511	10470
476	952476	9603477	954477	9621478	956478	9645479	958479	9660480	959480	9679481	961481	9699482	962482	9714	10398
483	9731	10375
484	9747	10350
485	9769	10332
486	9793	10316
487	9805	10287
